run_id,ts,db,K,query_id,policy_total_ms,artifact_load_ms,artifact_parse_ms,ctid_map_ms,filter_ms,child_exec_ms,ctid_extract_ms,ctid_to_rid_ms,allow_check_ms,projection_ms,rss_mb,rows_filtered,rows_returned,pe_total_ms,pe_load_ms,pe_local_ms,pe_prop_ms,pe_decode_ms,local_stamp_ms,local_bin_ms,local_eval_ms,local_fill_ms,prop_ms_bundle,status,error_type,error_msg,policy_profile_lines,policy_profile_query_lines,policy_profile_bundle_lines
layer_probe_20260214_053814,2026-02-14T05:38:21+05:30,tpch0_1,5,1,667.583,53.922,32.254,2.445,287.788,88.338,90.992,13.888,13.147,5.327,110.562,560326,40243,667.583,32.254,610.482,0.000,0.000,188.043,6.294,112.090,304.055,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:38:22+05:30,tpch0_1,5,3,669.603,54.387,32.034,2.535,210.978,104.958,38.240,7.508,7.110,6.772,111.781,320283,78468,669.603,32.034,612.759,0.000,0.000,188.969,6.245,112.138,305.407,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:38:23+05:30,tpch0_1,5,6,666.730,54.448,31.727,2.465,82.311,78.508,1.338,0.414,0.262,0.200,110.395,9791,1691,666.730,31.727,610.050,0.000,0.000,188.054,6.299,112.564,303.132,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:38:23+05:30,tpch0_1,5,13,0.000,0.000,0.000,0.000,85.476,59.142,0.000,0.000,0.000,12.510,52.852,0,163292,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_053814,2026-02-14T05:38:23+05:30,tpch0_1,5,22,0.000,0.000,0.000,0.000,55.881,33.539,0.000,0.000,0.000,9.384,52.566,0,155718,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_053814,2026-02-14T05:38:30+05:30,tpch0_1,15,1,666.233,72.929,35.079,2.624,280.623,88.684,83.447,13.996,13.179,5.337,128.133,560326,40243,666.233,35.079,74.762,0.000,0.000,9.788,1.480,12.131,51.362,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:38:31+05:30,tpch0_1,15,3,671.490,73.042,35.274,3.336,36.477,18.042,6.220,1.712,1.602,0.000,129.379,73099,1,671.490,35.274,74.688,0.000,0.000,9.790,1.496,12.146,51.256,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:38:32+05:30,tpch0_1,15,6,670.735,73.135,34.960,2.604,82.529,78.695,1.344,0.428,0.262,0.212,126.969,9791,1691,670.735,34.960,74.871,0.000,0.000,9.977,1.497,12.106,51.290,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:38:32+05:30,tpch0_1,15,13,150.447,10.902,5.698,0.762,4.893,1.585,0.802,0.345,0.326,0.000,53.062,15000,0,150.447,5.698,50.208,0.000,0.000,4.161,0.146,8.865,37.036,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:38:32+05:30,tpch0_1,15,22,148.688,10.742,5.536,0.759,14.856,13.984,0.226,0.092,0.084,0.000,52.789,3823,0,148.688,5.536,50.013,0.000,0.000,4.153,0.142,8.788,36.931,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:39:27+05:30,tpch1,5,1,3012.437,524.780,357.448,28.306,2753.579,833.648,835.045,139.656,131.693,53.318,842.773,5599499,401698,3012.437,357.448,2474.491,0.000,0.000,1948.841,66.653,118.468,340.529,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:39:32+05:30,tpch1,5,3,2948.746,522.885,351.500,27.921,2050.588,979.050,390.290,75.364,71.149,69.252,843.797,3201498,786202,2948.746,351.500,2417.518,0.000,0.000,1891.635,66.329,118.808,340.745,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:39:37+05:30,tpch1,5,6,2957.789,535.447,353.029,28.261,788.215,749.518,13.785,4.584,2.571,1.977,840.672,97874,16364,2957.789,353.029,2425.887,0.000,0.000,1900.672,66.217,118.863,340.135,0.000,ok,,,2,1,1
layer_probe_20260214_053814,2026-02-14T05:39:38+05:30,tpch1,5,13,0.000,0.000,0.000,0.000,764.116,504.668,0.000,0.000,0.000,123.503,125.820,0,1633672,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_053814,2026-02-14T05:39:39+05:30,tpch1,5,22,0.000,0.000,0.000,0.000,543.109,317.751,0.000,0.000,0.000,95.061,62.453,0,1557136,,,,,,0.000,0.000,0.000,0.000,0.000,ok,,,2,0,0
layer_probe_20260214_053814,2026-02-14T05:40:49+05:30,tpch1,15,1,4276.250,723.728,407.379,26.673,2752.442,833.297,834.345,139.969,130.994,53.471,973.332,5599499,401698,4276.250,407.379,189.355,0.000,0.000,97.209,14.311,12.256,65.578,0.000,ok,,,2,1,1
