row_type,db,K,baseline,query_id,setup_ms,disk_overhead_bytes,cold_ms,cold_peak_rss_kb,hot1_ms,hot1_peak_rss_kb,hot2_ms,hot2_peak_rss_kb,hot3_ms,hot3_peak_rss_kb,hot4_ms,hot4_peak_rss_kb,hot5_ms,hot5_peak_rss_kb,hot_avg_ms,hot_avg_peak_rss_kb,status,error_type,error_msg
setup,tpch0_1,5,ours,__setup__,4533.847,10559488,,,,,,,,,,,,,,,ok,,
setup,tpch0_1,5,rls_with_index,__setup__,1472.893,75563008,,,,,,,,,,,,,,,ok,,
query,tpch0_1,5,ours,1,,,333.049,118204,151.336,160404,181.667,160592,181.715,160820,181.609,161076,181.888,167432,175.643,162064,ok,,
query,tpch0_1,5,rls_with_index,1,,,121.166,98632,90.688,123392,90.757,123344,91.034,123344,90.716,123344,90.822,123344,90.803,123353,ok,,
query,tpch0_1,5,ours,2,,,211.844,50472,211.840,50920,211.711,50920,211.684,50920,211.720,50920,211.902,50920,211.771,50920,ok,,
query,tpch0_1,5,rls_with_index,2,,,211.917,48008,211.829,50024,211.968,50024,211.729,50024,211.828,50024,211.838,50024,211.839,50024,ok,,
query,tpch0_1,5,ours,3,,,302.711,204376,90.882,233364,91.030,233432,90.988,233440,91.042,233476,90.864,239608,90.961,234664,ok,,
query,tpch0_1,5,rls_with_index,3,,,90.863,106696,90.708,140688,90.882,145496,90.650,145504,90.734,145508,90.776,145512,90.750,144541,ok,,
query,tpch0_1,5,ours,4,,,272.088,146192,91.094,237892,91.029,243084,91.031,243088,90.857,243048,91.001,243052,91.002,242032,ok,,
query,tpch0_1,5,rls_with_index,4,,,121.243,136612,121.093,150532,121.298,151060,90.850,151060,90.952,151060,90.776,151060,102.994,150954,ok,,
query,tpch0_1,5,ours,5,,,272.380,146892,91.131,242844,90.625,242632,90.657,242776,90.932,242780,90.986,242740,90.866,242754,ok,,
query,tpch0_1,5,rls_with_index,5,,,151.374,151048,151.399,151840,151.483,152224,151.465,152240,151.174,152244,151.259,152248,151.356,152159,ok,,
query,tpch0_1,5,ours,6,,,302.499,219400,91.153,244788,90.946,244920,90.918,244924,90.897,244928,90.879,244740,90.959,244860,ok,,
query,tpch0_1,5,rls_with_index,6,,,90.838,146972,90.311,150460,90.819,150320,90.888,150320,90.783,150320,90.827,150320,90.726,150348,ok,,
query,tpch0_1,5,ours,7,,,272.145,193268,90.854,246660,90.921,246504,90.775,246508,90.768,246512,91.061,246696,90.876,246576,ok,,
query,tpch0_1,5,rls_with_index,7,,,121.170,144768,120.975,148920,121.263,149032,121.225,149032,121.264,149036,121.157,148984,121.177,149000,ok,,
query,tpch0_1,5,ours,8,,,302.648,219384,121.195,246276,121.155,246412,121.256,246312,121.212,246428,90.904,246396,115.144,246364,ok,,
query,tpch0_1,5,rls_with_index,8,,,1571.699,145644,1539.662,146096,1509.305,150268,1511.218,150272,1511.984,150276,1541.054,150280,1522.644,149438,ok,,
query,tpch0_1,5,ours,9,,,332.823,218220,151.521,245300,151.348,245440,151.220,245448,151.525,245636,151.533,245564,151.430,245477,ok,,
query,tpch0_1,5,rls_with_index,9,,,121.205,150376,120.877,152224,121.066,152100,121.068,152100,121.201,152104,120.801,152104,121.003,152126,ok,,
query,tpch0_1,5,ours,10,,,302.888,198436,121.208,246548,120.957,246608,120.948,246620,121.270,246584,121.289,246588,121.134,246589,ok,,
query,tpch0_1,5,rls_with_index,10,,,121.084,148296,90.946,151432,90.853,151420,90.899,151424,90.872,151424,90.779,151424,90.870,151424,ok,,
query,tpch0_1,5,ours,11,,,30.370,23592,30.422,40896,30.483,41212,30.395,41228,30.401,41232,30.362,41236,30.412,41160,ok,,
query,tpch0_1,5,rls_with_index,11,,,60.780,53832,30.467,53360,30.438,53236,30.594,53248,30.482,53252,30.442,53256,30.484,53270,ok,,
query,tpch0_1,5,ours,12,,,302.103,211080,121.211,235128,121.132,235116,121.178,236464,90.628,239608,121.245,241176,115.079,237498,ok,,
query,tpch0_1,5,rls_with_index,12,,,121.155,128296,91.282,131560,90.572,131604,90.801,131604,90.524,131604,90.586,131604,90.753,131595,ok,,
query,tpch0_1,5,ours,13,,,60.382,46440,60.593,59824,60.394,59648,60.518,59648,60.412,59652,60.497,59656,60.483,59685,ok,,
query,tpch0_1,5,rls_with_index,13,,,60.640,43080,60.544,54556,60.463,54420,60.541,54420,60.538,54424,60.557,54424,60.529,54448,ok,,
query,tpch0_1,5,ours,14,,,302.748,196512,90.886,231756,90.930,231752,91.006,231756,90.937,231760,90.745,231764,90.901,231757,ok,,
query,tpch0_1,5,rls_with_index,14,,,90.602,122268,90.645,137180,90.829,137308,90.831,137312,90.960,137316,90.792,137316,90.811,137286,ok,,
query,tpch0_1,5,ours,15,,,272.534,154572,90.966,231708,91.009,232008,90.971,232016,90.853,232052,90.909,238408,90.942,233238,ok,,
query,tpch0_1,5,rls_with_index,15,,,90.798,128952,90.838,138016,90.777,137976,90.802,138220,90.750,138224,90.834,138228,90.800,138132,ok,,
query,tpch0_1,5,ours,16,,,60.566,50248,60.815,50472,30.643,49252,30.237,49304,30.243,49164,30.097,49164,36.407,49471,ok,,
query,tpch0_1,5,rls_with_index,16,,,30.161,18440,30.349,47436,30.313,47172,30.252,47176,30.312,47184,30.303,47188,30.306,47231,ok,,
query,tpch0_1,5,ours,17,,,545.106,259888,362.203,283512,363.330,283328,332.932,283332,363.287,283332,362.829,283332,356.916,283367,ok,,
query,tpch0_1,5,rls_with_index,17,,,181.286,138824,181.484,139752,181.643,139724,181.600,139728,181.517,139732,181.470,139732,181.543,139733,ok,,
query,tpch0_1,5,ours,18,,,333.034,245372,151.539,283004,151.596,283204,151.613,283208,151.624,283212,151.745,283220,151.623,283169,ok,,
query,tpch0_1,5,rls_with_index,18,,,121.040,133800,90.879,136676,90.739,136576,90.918,136448,90.669,136452,90.763,136456,90.793,136521,ok,,
query,tpch0_1,5,ours,19,,,272.517,117628,90.892,233964,90.875,233860,90.756,233864,90.920,233864,90.825,233868,90.853,233884,ok,,
query,tpch0_1,5,rls_with_index,19,,,121.138,132888,90.888,135704,90.851,135708,90.836,135708,90.841,135708,90.809,135708,90.845,135707,ok,,
