db,K,query_id,bytes_artifacts_loaded,bytes_allow,bytes_ctid,bytes_blk_index,eval_ms,artifact_load_ms,policy_total_ms,ctid_map_ms,filter_ms,rows_seen,rows_passed,ctid_misses,peak_rss_kb_end,sanity_status,sanity_notes
tpch0_1,5,1,27977134,75072,4804576,135192,0.238,27.579,7.121,18.426,87.135,595657,2271,0,231784,ok,
tpch0_1,5,2,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,3,27977134,75072,4804576,135192,0.183,27.347,7.135,17.762,14.869,3023,24,0,237720,ok,
tpch0_1,5,4,27977134,75072,4804576,135192,0.169,26.820,7.006,17.954,8.046,14197,0,0,239612,ok,
tpch0_1,5,5,27977134,75072,4804576,135192,0.219,27.154,7.244,17.702,9.581,18948,125,0,240028,ok,
tpch0_1,5,6,27977134,75072,4804576,135192,0.171,26.943,7.102,17.807,35.980,11482,395,0,230640,ok,
tpch0_1,5,7,27977134,75072,4804576,135192,0.237,27.275,6.974,17.392,17.169,14246,24,0,242988,ok,
tpch0_1,5,8,27977134,75072,4804576,135192,0.192,27.090,7.027,18.129,17.215,36999,32,0,245752,ok,
tpch0_1,5,9,27977134,75072,4804576,135192,0.190,26.717,7.067,18.154,87.196,600572,2271,0,240796,ok,
tpch0_1,5,10,27977134,75072,4804576,135192,0.173,27.129,7.155,17.527,46.831,148301,2271,0,243848,ok,
tpch0_1,5,11,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,12,27977134,75072,4804576,135192,0.178,27.113,7.048,18.000,51.442,3209,38,0,244264,ok,
tpch0_1,5,13,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,14,27977134,75072,4804576,135192,0.204,27.441,7.098,18.798,31.733,7624,60,0,238380,ok,
tpch0_1,5,15,27977134,75072,4804576,135192,0.200,26.870,7.253,17.866,33.772,23006,0,0,238156,ok,
tpch0_1,5,16,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
tpch0_1,5,17,27977134,75072,4804576,135192,0.167,27.418,7.146,18.379,162.053,600609,2272,0,315096,ok,
tpch0_1,5,18,27977134,75072,4804576,135192,0.189,26.169,7.166,17.820,65.013,600796,2272,0,290144,ok,
tpch0_1,5,19,27977134,75072,4804576,135192,0.180,26.598,7.135,17.704,56.374,12547,0,0,239460,ok,
tpch0_1,5,20,0,0,0,0,0.061,0.000,0.000,0.000,0.000,0,0,0,218316,ok,
tpch0_1,5,21,27977134,75072,4804576,135192,0.233,26.912,7.039,18.027,61.753,380243,1390,0,239628,ok,
tpch0_1,5,22,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0,0,0,-1,ok,
