row_type,db,K,query_id,setup_ms,cold_ms,hot1_ms,hot2_ms,hot3_ms,hot4_ms,hot5_ms,hot_avg_ms,status,error_type,error_msg
setup,tpch0_1,5,__setup__,5183.859,,,,,,,,ok,,
query,tpch0_1,5,1,,344.507,,,,,,0.000,ok,,
query,tpch0_1,5,2,,222.430,,,,,,0.000,ok,,
query,tpch0_1,5,3,,283.265,,,,,,0.000,ok,,
query,tpch0_1,5,4,,263.345,,,,,,0.000,ok,,
query,tpch0_1,5,5,,283.715,,,,,,0.000,ok,,
query,tpch0_1,5,6,,283.286,,,,,,0.000,ok,,
query,tpch0_1,5,7,,283.330,,,,,,0.000,ok,,
query,tpch0_1,5,8,,283.373,,,,,,0.000,ok,,
query,tpch0_1,5,9,,344.291,,,,,,0.000,ok,,
query,tpch0_1,5,10,,303.093,,,,,,0.000,ok,,
query,tpch0_1,5,11,,20.834,,,,,,0.000,ok,,
query,tpch0_1,5,12,,303.801,,,,,,0.000,ok,,
query,tpch0_1,5,13,,60.909,,,,,,0.000,ok,,
query,tpch0_1,5,14,,283.584,,,,,,0.000,ok,,
query,tpch0_1,5,15,,283.710,,,,,,0.000,ok,,
query,tpch0_1,5,16,,40.446,,,,,,0.000,ok,,
query,tpch0_1,5,17,,444.618,,,,,,0.000,ok,,
query,tpch0_1,5,18,,323.807,,,,,,0.000,ok,,
query,tpch0_1,5,19,,303.074,,,,,,0.000,ok,,
query,tpch0_1,5,20,,60006.656,,,,,,0.000,error,timeout,ERROR:  canceling statement due to statement timeout
query,tpch0_1,5,21,,304.049,,,,,,0.000,ok,,
query,tpch0_1,5,22,,20.117,,,,,,0.000,ok,,
